model,fuelBurn,fuelPerSeat,maxDistance,minDistance
Airbus A319neo,2.82 kg/km (10 lb/mi),2.82 L/100 km (83.5 mpg‑US)[42],1267,561
Airbus A320neo,2.79 kg/km (9.9 lb/mi),2.25 L/100 km (104.7 mpg‑US)[42],1267,561
Airbus A321neo,3.30 kg/km (11.7 lb/mi),2.19 L/100 km (107.4 mpg‑US)[42],1267,561
Antonov An-148,2.89 kg/km (10.3 lb/mi),4.06 L/100 km (57.9 mpg‑US)[30],1267,561
Antonov An-158,3 kg/km (11 lb/mi),3.79 L/100 km (62.1 mpg‑US)[30],1267,561
Boeing 737-300,3.49 kg/km (12.4 lb/mi),3.46 L/100 km (68 mpg‑US)[43],1267,561
Boeing 737-600,3.16 kg/km (11.2 lb/mi),3.59 L/100 km (65.5 mpg‑US)[44],1267,561
Boeing 737-700,3.21 kg/km (11.4 lb/mi),3.19 L/100 km (74 mpg‑US)[44],1267,561
Boeing 737 MAX 7,2.85 kg/km (10.1 lb/mi),2.77 L/100 km (84.8 mpg‑US)[42],1267,561
Boeing 737 MAX 7,3.39 kg/km (12.01 lb/mi),2.93 L/100 km (80.2 mpg‑US)[41],1267,561
Boeing 737-800,3.59 kg/km (12.7 lb/mi),2.77 L/100 km (85 mpg‑US)[44],1267,561
Boeing 737 MAX 8,3.04 kg/km (10.8 lb/mi),2.28 L/100 km (103.2 mpg‑US)[42],1267,561
Boeing 737-900ER,3.83 kg/km (13.6 lb/mi),2.66 L/100 km (88 mpg‑US)[44],1267,561
Boeing 737 MAX 9,3.30 kg/km (11.7 lb/mi),2.3 L/100 km (103 mpg‑US)[42],1267,561
Boeing 757-200,4.68 kg/km (16.61 lb/mi),2.91 L/100 km (80.7 mpg‑US)[45],1267,561
Boeing 757-300,5.19 kg/km (18.41 lb/mi),2.66 L/100 km (88.4 mpg‑US)[45],1267,561
Bombardier CRJ100,1.87 kg/km (6.65 lb/mi),4.68 L/100 km (50.3 mpg‑US)[33],1267,561
Bombardier CRJ200,1.80 kg/km (6.39 lb/mi),4.49 L/100 km (52.4 mpg‑US)[33],1267,561
Bombardier CRJ700,2.45 kg/km (8.68 lb/mi),4.4 L/100 km (54 mpg‑US)[33],1267,561
Bombardier CRJ900,2.78 kg/km (9.88 lb/mi),3.94 L/100 km (59.7 mpg‑US)[33],1267,561
Bombardier CRJ1000,2.66 kg/km (9.4 lb/mi),3.33 L/100 km (71 mpg‑US) [46],1267,561
Airbus A220 100,2.8 kg/km (10.1 lb/mi),3.07 L/100 km (76.7 mpg‑US)[41],1267,561
Airbus A220 300,3.10 kg/km (11.01 lb/mi),2.75 L/100 km (85.6 mpg‑US)[41],1267,561
Airbus A220-100,2.57 kg/km (9.1 lb/mi),2.57 L/100 km (92 mpg‑US)[47],1267,561
Airbus A220-300,2.85 kg/km (10.11 lb/mi),2.23 L/100 km (105 mpg‑US)[48],1267,561
Bombardier Dash 8 Q400,1.83 kg/km (6.5 lb/mi),2.79 L/100 km (84 mpg‑US)[49],1267,561
Dornier 328,1.08 kg/km (3.8 lb/mi),4.35 L/100 km (54.1 mpg‑US)[50],1267,561
Embraer E-Jet E2-175,2.44 kg/km (8.64 lb/mi),3.44 L/100 km (68.3 mpg‑US)[41],1267,561
Embraer E-Jet E2-190,2.83 kg/km (10.04 lb/mi),3.32 L/100 km (70.8 mpg‑US)[41],1267,561
Embraer E-Jet E2-195,3.07 kg/km (10.91 lb/mi),2.9 L/100 km (81 mpg‑US)[41],1267,561
Embraer E-Jet-190,2.98 kg/km (10.6 lb/mi),3.81 L/100 km (61.7 mpg‑US)[51],1267,561
Pilatus PC-12,0.41 kg/km (1.5 lb/mi),5.66 L/100 km (41.6 mpg‑US)[52],1267,561
Saab 340,0.95 kg/km (3.4 lb/mi),3.83 L/100 km (61.4 mpg‑US)[38],1267,561
Saab 2000,1.54 kg/km (5.5 lb/mi),3.85 L/100 km (61.1 mpg‑US)[39],1267,561
Sukhoi SSJ100,2.81 kg/km (10.0 lb/mi),3.59 L/100 km (65.5 mpg‑US)[51],1267,561
Xian MA700,1.56 kg/km (5.5 lb/mi),2.5 L/100 km (94 mpg‑US)[40],1267,561
Airbus A319,2.93 kg/km (10.4 lb/mi),2.95 L/100 km (80 mpg‑US)[53],1900,1268
Airbus A319Neo,2.4 kg/km (8.6 lb/mi),1.93 L/100 km (122 mpg‑US)[26],1900,1268
Airbus A320,3.13 kg/km (11.1 lb/mi),2.61 L/100 km (90 mpg‑US)[53],1900,1268
Airbus A321-200,3.61 kg/km (12.8 lb/mi),2.5 L/100 km (94 mpg‑US)[53],1900,1268
Airbus A330-200,5.6 kg/km (19.8 lb/mi),2.37 L/100 km (99 mpg‑US)[53],1900,1268
Antonov An-148 (1190 nmi),2.75 kg/km (9.8 lb/mi),3.86 L/100 km (60.9 mpg‑US)[30],1900,1268
Antonov An-158 (1190 nmi),2.83 kg/km (10.0 lb/mi),3.57 L/100 km (65.9 mpg‑US)[30],1900,1268
Boeing 737-600,2.77 kg/km (9.8 lb/mi),3.15 L/100 km (75 mpg‑US)[44],1900,1268
Boeing 737-700,2.82 kg/km (10.0 lb/mi),2.79 L/100 km (84 mpg‑US)[44],1900,1268
Boeing 737-700,2.8 kg/km (9.9 lb/mi),2.71 L/100 km (87 mpg‑US)[53],1900,1268
Boeing 737 MAX-7,2.51 kg/km (8.91 lb/mi),1.94 L/100 km (121 mpg‑US)[26],1900,1268
Boeing 737-800,3.17 kg/km (11.2 lb/mi),2.44 L/100 km (96 mpg‑US)[44],1900,1268
Boeing 737-800,3.45 kg/km (12.23 lb/mi),2.68 L/100 km (88 mpg‑US)[53],1900,1268
Boeing 737-800W,3.18 kg/km (11.3 lb/mi),2.45 L/100 km (96 mpg‑US)[54],1900,1268
Boeing 737 MAX-8,2.71 kg/km (9.6 lb/mi),2.04 L/100 km (115 mpg‑US)[54],1900,1268
Boeing 737-900ER,3.42 kg/km (12.1 lb/mi),2.38 L/100 km (99 mpg‑US)[44],1900,1268
Boeing 737-900ERW,3.42 kg/km (12.1 lb/mi),2.37 L/100 km (99 mpg‑US)[54],1900,1268
Boeing 737 MAX-9,2.91 kg/km (10.3 lb/mi),2.02 L/100 km (116 mpg‑US)[54],1900,1268
Boeing 757-200,4.60 kg/km (16.33 lb/mi),3.02 L/100 km (78 mpg‑US)[53],1900,1268
Boeing 757-200,4.16 kg/km (14.76 lb/mi),2.59 L/100 km (90.8 mpg‑US)[45],1900,1268
Boeing 757-300,4.68 kg/km (16.62 lb/mi),2.4 L/100 km (98 mpg‑US)[45],1900,1268
Airbus A220-100,2.28 kg/km (8.1 lb/mi),2.28 L/100 km (103 mpg‑US)[47],1900,1268
Airbus A220-300,2.56 kg/km (9.08 lb/mi),2.00 L/100 km (118 mpg‑US)[48],1900,1268
Airbus A220-300,2.30 kg/km (8.17 lb/mi),1.85 L/100 km (127 mpg‑US)[26],1900,1268
Quest Kodiak,0.71 kg/km (2.52 lb/mi),6.28 L/100 km (37.5 mpg‑US)[55],1900,1268
Airbus A320,2.91 kg/km (10.3 lb/mi),2.43 L/100 km (97 mpg‑US)[57],6300,1901
Airbus A321NeoLR,2.99 kg/km (10.6 lb/mi),2.43 L/100 km (97 mpg‑US)[58],6300,1901
Airbus A330-200,6 kg/km (21 lb/mi),3.11 L/100 km (76 mpg‑US)[59],6300,1901
Airbus A330-300,6.25 kg/km (22.2 lb/mi),2.98 L/100 km (79 mpg‑US)[59],6300,1901
Airbus A330neo-900,6 kg/km (21 lb/mi),2.42 L/100 km (97 mpg‑US)[60],6300,1901
Airbus A340-300,6.81 kg/km (24.2 lb/mi),3.25 L/100 km (72 mpg‑US)[59],6300,1901
Boeing 737 MAX-8,2.86 kg/km (10.1 lb/mi),2.13 L/100 km (110 mpg‑US)[61],6300,1901
Boeing 737 MAX-9,2.91 kg/km (10.3 lb/mi),2.53 L/100 km (93 mpg‑US)[58],6300,1901
Boeing 747-400,10.77 kg/km (38.2 lb/mi),3.24 L/100 km (73 mpg‑US)[57],6300,1901
Boeing 747-8,9.9 kg/km (35 lb/mi),2.65 L/100 km (89 mpg‑US)[62],6300,1901
Boeing 757-200W,3.79 kg/km (13.4 lb/mi),3 L/100 km (78 mpg‑US)[58],6300,1901
Boeing 767-200ER,4.83 kg/km (17.1 lb/mi),3.34 L/100 km (70 mpg‑US)[63],6300,1901
Boeing 767-200ER,5.01 kg/km (17.8 lb/mi),3.25 L/100 km (72 mpg‑US)[58],6300,1901
Boeing 767-200ER,4.93 kg/km (17.5 lb/mi),2.75 L/100 km (86 mpg‑US)[63],6300,1901
Boeing 767-300ER,5.38 kg/km (19.1 lb/mi),3.09 L/100 km (76 mpg‑US)[57],6300,1901
Boeing 767-300ER,5.39 kg/km (19.1 lb/mi),3.09 L/100 km (76 mpg‑US)[63],6300,1901
Boeing 767-300ER,5.51 kg/km (19.5 lb/mi),2.56 L/100 km (92 mpg‑US)[63],6300,1901
Boeing 767-400ER,5.78 kg/km (20.5 lb/mi),2.95 L/100 km (80 mpg‑US)[63],6300,1901
Boeing 767-400ER,5.93 kg/km (21.0 lb/mi),2.44 L/100 km (96 mpg‑US)[63],6300,1901
Boeing 767-400ER,5.92 kg/km (21 lb/mi),2.43 L/100 km (96.9 mpg‑US)[43],6300,1901
Boeing 777-200,6.83 kg/km (24.2 lb/mi),2.8 L/100 km (84 mpg‑US)[64],6300,1901
Boeing 777-200ER,6.96 kg/km (24.7 lb/mi),2.89 L/100 km (81 mpg‑US)[59],6300,1901
Boeing 777-300,7.88 kg/km (28.0 lb/mi),2.68 L/100 km (88 mpg‑US)[64],6300,1901
Boeing 787-8,5.26 kg/km (18.7 lb/mi),2.26 L/100 km (104 mpg‑US)[61],6300,1901
Boeing 787-8,5.11 kg/km (18.1 lb/mi),2.68 L/100 km (88 mpg‑US)[58],6300,1901
Boeing 787-9,5.77 kg/km (20.5 lb/mi),2.37 L/100 km (99 mpg‑US)[60],6300,1901
Irkut MC-21,3.04 kg/km (10.8 lb/mi),2.33 L/100 km (101 mpg‑US)[65],6300,1901
Airbus A330-200,6.4 kg/km (23 lb/mi),3.32 L/100 km (71 mpg‑US)[59],13300,6301
Airbus A330neo-800,5.45 kg/km (19.3 lb/mi),2.75 L/100 km (86 mpg‑US)[67],13300,6301
Airbus A330neo-900,5.94 kg/km (21.1 lb/mi),2.48 L/100 km (95 mpg‑US)[67],13300,6301
Airbus A340-300,7.32 kg/km (26.0 lb/mi),3.49 L/100 km (67.4 mpg‑US)[59],13300,6301
Airbus A350-900,6.03 kg/km (21.4 lb/mi),2.39 L/100 km (98 mpg‑US)[60],13300,6301
Airbus A350-900,7.07 kg/km (25.1 lb/mi),2.81 L/100 km (84 mpg‑US)[68],13300,6301
Airbus A380,13.78 kg/km (48.9 lb/mi),3.27 L/100 km (72 mpg‑US)[69],13300,6301
Airbus A380,13.78 kg/km (48.9 lb/mi),3.16 L/100 km (74 mpg‑US)[70],13300,6301
Boeing 747-400,11.11 kg/km (39.4 lb/mi),3.34 L/100 km (70 mpg‑US)[71],13300,6301
Boeing 747-8,10.54 kg/km (37.4 lb/mi),2.82 L/100 km (83 mpg‑US)[62],13300,6301
Boeing 747-8,10.9 kg/km (39 lb/mi),3.35 L/100 km (70 mpg‑US)[69],13300,6301
Boeing 777-200ER,7.42 kg/km (26.3 lb/mi),3.08 L/100 km (76 mpg‑US)[59],13300,6301
Boeing 777-200ER,7.44 kg/km (26.4 lb/mi),3.09 L/100 km (76 mpg‑US)[64],13300,6301
Boeing 777-200LR,7.57 kg/km (26.9 lb/mi),3.25 L/100 km (72 mpg‑US)[60],13300,6301
Boeing 777-300ER,8.49 kg/km (30.1 lb/mi),2.91 L/100 km (81 mpg‑US)[64],13300,6301
Boeing 777-300ER,8.58 kg/km (30.4 lb/mi),3.11 L/100 km (76 mpg‑US)[69],13300,6301
Boeing 777-9X,9.04 kg/km (32.1 lb/mi),2.85 L/100 km (83 mpg‑US)[69],13300,6301
Boeing 787-8,5.38 kg/km (19.1 lb/mi),2.77 L/100 km (85 mpg‑US)[67],13300,6301
Boeing 787-9,5.85 kg/km (20.8 lb/mi),2.49 L/100 km (94 mpg‑US)[67],13300,6301
Boeing 787-9,5.63 kg/km (20.0 lb/mi),2.31 L/100 km (102 mpg‑US)[60],13300,6301
Boeing 787-9,7.18 kg/km (25.5 lb/mi),3.08 L/100 km (76 mpg‑US)[68],13300,6301
